Name,Bank Holiday,Date
Maundy Thursday,0,17/4/2014
Good Friday,1,18/4/2014
Easter Sunday,0,20/4/2014
Easter Monday,1,21/4/2014
Queen Elizabeth's Birthday,0,21/4/2014
St George's Day,0,23/4/2014
May Day (Early May Bank Holiday),1,5/5/2014
Spring Bank Holiday,1,26/5/2014
Trooping the Colour,0,14/6/2014
Father's Day,0,15/6/2014
Emmeline Pankhurst Day,0,14/7/2014
St.Swithun's Day (aka St. Swithin's),0,15/7/2014
Summer Bank Holiday,1,25/8/2014
British Summertime (BST) Ends,0,26/10/2014
Halloween,0,31/10/2014
All Saints Day,0,1/11/2014
Guy Fawkes Night,0,5/11/2014
Remembrance Day (Remembrance Sunday),0,9/11/2014
St Andrew's Day,0,30/11/2014
Christmas,1,25/12/2014
Boxing Day,1,26/12/2014
New Year's Day,1,1/1/2015
Robert Burns Night (Burns Night),0,25/1/2015
Holocaust Memorial Day,0,27/1/2015
Valentines Day,0,14/2/2015
Shrove Tuesday (Pancake Day),0,17/2/2015
Ash Wednesday,0,18/2/2015
St David's Day,0,1/3/2015
Mothering Sunday (Mothers Day),0,15/3/2015
St Patricks Day,0,17/3/2015
British Summertime (BST) Begins,0,29/3/2015
April Fool's Day,0,1/4/2015
Maundy Thursday,0,2/4/2015
Good Friday,1,3/4/2015
Easter Sunday,0,5/4/2015
Easter Monday,1,6/4/2015
Queen Elizabeth's Birthday,0,21/4/2015
St George's Day,0,23/4/2015
May Day (Early May Bank Holiday),1,4/5/2015
Spring Bank Holiday,1,25/5/2015
Trooping the Colour,0,14/6/2015
Father's Day,0,21/6/2015
Emmeline Pankhurst Day,0,14/7/2015
St.Swithun's Day (aka St. Swithin's),0,15/7/2015
Summer Bank Holiday,1,31/8/2015
British Summertime (BST) Ends,0,25/10/2015
Halloween,0,31/10/2015
All Saints Day,0,1/11/2015
Guy Fawkes Night,0,5/11/2015
Remembrance Day (Remembrance Sunday),0,8/11/2015
St Andrew's Day,0,30/11/2015
Christmas,1,25/12/2015
Boxing Day,1,28/12/2015
New Year's Day,1,1/1/2016
Robert Burns Night (Burns Night),0,25/1/2016
Holocaust Memorial Day,0,27/1/2016
Shrove Tuesday (Pancake Day),0,9/2/2016
Ash Wednesday,0,10/2/2016
Valentines Day,0,14/2/2016
St David's Day,0,1/3/2016
Mothering Sunday (Mothers Day),0,6/3/2016
St Patricks Day,0,17/3/2016
Maundy Thursday,0,24/3/2016
Good Friday,1,25/3/2016
British Summertime (BST) Begins,0,27/3/2016
Easter Sunday,0,27/3/2016
Easter Monday,1,28/3/2016
April Fool's Day,0,1/4/2016
Queen Elizabeth's Birthday,0,21/4/2016
St George's Day,0,23/4/2016
May Day (Early May Bank Holiday),1,2/5/2016
Spring Bank Holiday,1,30/5/2016
Trooping the Colour,0,14/6/2016
Father's Day,0,19/6/2016
Emmeline Pankhurst Day,0,14/7/2016
St.Swithun's Day (aka St. Swithin's),0,15/7/2016
Summer Bank Holiday,1,29/8/2016
British Summertime (BST) Ends,0,30/10/2016
Halloween,0,31/10/2016
All Saints Day,0,1/11/2016
Guy Fawkes Night,0,5/11/2016
Remembrance Day (Remembrance Sunday),0,13/11/2016
St Andrew's Day,0,30/11/2016
Boxing Day,1,26/12/2016
Christmas,1,27/12/2016
Hogmanay,0,1/1/2017
New Year's Day,1,2/1/2017
Robert Burns Night (Burns Night),0,25/1/2017
Holocaust Memorial Day,0,27/1/2017
Valentines Day,0,14/2/2017
Shrove Tuesday (Pancake Day),0,28/2/2017
Ash Wednesday,0,1/3/2017
St David's Day,0,1/3/2017
St Patricks Day,0,17/3/2017
British Summertime (BST) Begins,0,26/3/2017
Mothering Sunday (Mothers Day),0,26/3/2017
April Fool's Day,0,1/4/2017
Maundy Thursday,0,13/4/2017
Good Friday,1,14/4/2017
Easter Sunday,0,16/4/2017
Easter Monday,1,17/4/2017
Queen Elizabeth's Birthday,0,21/4/2017
St George's Day,0,23/4/2017
May Day (Early May Bank Holiday),1,1/5/2017
Spring Bank Holiday,1,29/5/2017
Trooping the Colour,0,14/6/2017
Father's Day,0,18/6/2017
Emmeline Pankhurst Day,0,14/7/2017
St.Swithun's Day (aka St. Swithin's),0,15/7/2017
Summer Bank Holiday,1,28/8/2017
British Summertime (BST) Ends,0,29/10/2017
Halloween,0,31/10/2017
All Saints Day,0,1/11/2017
Guy Fawkes Night,0,5/11/2017
Remembrance Day (Remembrance Sunday),0,12/11/2017
St Andrew's Day,0,30/11/2017
Christmas,1,25/12/2017
Boxing Day,1,26/12/2017
New Year's Day,1,1/1/2018
Robert Burns Night (Burns Night),0,25/1/2018
Holocaust Memorial Day,0,27/1/2018
Shrove Tuesday (Pancake Day),0,13/2/2018
Ash Wednesday,0,14/2/2018
Valentines Day,0,14/2/2018
St David's Day,0,1/3/2018
Mothering Sunday (Mothers Day),0,11/3/2018
St Patricks Day,0,17/3/2018
British Summertime (BST) Begins,0,25/3/2018
Maundy Thursday,0,29/3/2018
Good Friday,1,30/3/2018
April Fool's Day,0,1/4/2018
Easter Sunday,0,1/4/2018
Easter Monday,1,2/4/2018
Queen Elizabeth's Birthday,0,21/4/2018
St George's Day,0,23/4/2018
May Day (Early May Bank Holiday),1,7/5/2018
Spring Bank Holiday,1,28/5/2018
Trooping the Colour,0,14/6/2018
Father's Day,0,17/6/2018
Emmeline Pankhurst Day,0,14/7/2018
St.Swithun's Day (aka St. Swithin's),0,15/7/2018
Summer Bank Holiday,1,27/8/2018
British Summertime (BST) Ends,0,28/10/2018
Halloween,0,31/10/2018
All Saints Day,0,1/11/2018
Guy Fawkes Night,0,5/11/2018
St Andrew's Day,0,30/11/2018
Christmas,1,25/12/2018
Boxing Day,1,26/12/2018
New Year's Day,1,1/1/2019
Robert Burns Night (Burns Night),0,25/1/2019
Holocaust Memorial Day,0,27/1/2019
Valentines Day,0,14/2/2019
St David's Day,0,1/3/2019
Shrove Tuesday (Pancake Day),0,5/3/2019
Ash Wednesday,0,6/3/2019
St Patricks Day,0,17/3/2019
British Summertime (BST) Begins,0,31/3/2019
Mothering Sunday (Mothers Day),0,31/3/2019
April Fool's Day,0,1/4/2019
Maundy Thursday,0,18/4/2019
Good Friday,1,19/4/2019
Easter Sunday,0,21/4/2019
Queen Elizabeth's Birthday,0,21/4/2019
Easter Monday,1,22/4/2019
St George's Day,0,23/4/2019
May Day (Early May Bank Holiday),1,6/5/2019
Spring Bank Holiday,1,27/5/2019
Trooping the Colour,0,14/6/2019
Father's Day,0,16/6/2019
Emmeline Pankhurst Day,0,14/7/2019
St.Swithun's Day (aka St. Swithin's),0,15/7/2019
Summer Bank Holiday,1,26/8/2019
British Summertime (BST) Ends,0,27/10/2019
Halloween,0,31/10/2019
All Saints Day,0,1/11/2019
Guy Fawkes Night,0,5/11/2019
Remembrance Day (Remembrance Sunday),0,10/11/2019
St Andrew's Day,0,30/11/2019
Christmas,1,25/12/2019
Boxing Day,1,26/12/2019
New Year's Day,1,1/1/2020
Robert Burns Night (Burns Night),0,25/1/2020
Holocaust Memorial Day,0,27/1/2020
Valentines Day,0,14/2/2020
Shrove Tuesday (Pancake Day),0,25/2/2020
Ash Wednesday,0,26/2/2020
St David's Day,0,1/3/2020
St Patricks Day,0,17/3/2020
Mothering Sunday (Mothers Day),0,22/3/2020
British Summertime (BST) Begins,0,29/3/2020
April Fool's Day,0,1/4/2020
Maundy Thursday,0,9/4/2020
Good Friday,1,10/4/2020
Easter Sunday,0,12/4/2020
Easter Monday,1,13/4/2020
Queen Elizabeth's Birthday,0,21/4/2020
St George's Day,0,23/4/2020
May Day (Early May Bank Holiday),1,4/5/2020
Spring Bank Holiday,1,25/5/2020
Trooping the Colour,0,14/6/2020
Father's Day,0,21/6/2020
Emmeline Pankhurst Day,0,14/7/2020
St.Swithun's Day (aka St. Swithin's),0,15/7/2020
Summer Bank Holiday,1,31/8/2020
British Summertime (BST) Ends,0,25/10/2020
Halloween,0,31/10/2020
All Saints Day,0,1/11/2020
Guy Fawkes Night,0,5/11/2020
Remembrance Day (Remembrance Sunday),0,8/11/2020
St Andrew's Day,0,30/11/2020
Christmas,1,25/12/2020
Boxing Day,1,28/12/2020
